journal,SJR
mobile dna,"2,479"
biomedical technology,"2,478"
relc journal,"2,478"
smart learning environments,"2,476"
british journal of psychiatry,"2,471"
american journal of health economics,"2,470"
journal of controlled release,"2,470"
monographs of the society for research in child development,"2,470"
medcomm,"2,469"
nature reviews urology,"2,466"
small science,"2,464"
natural product reports,"2,463"
behavior research methods,"2,462"
journal of materials chemistry a,"2,462"
scipost physics lecture notes,"2,462"
annals of tourism research,"2,461"
british journal of dermatology,"2,459"
cellular and molecular biology letters,"2,458"
american journal of mathematics,"2,455"
clinical child and family psychology review,"2,455"
translational psychiatry,"2,453"
research methods in applied linguistics,"2,452"
bioinformatics,"2,451"
bmj global health,"2,451"
current forestry reports,"2,451"
haematologica,"2,449"
thorax,"2,448"
reviews in endocrine and metabolic disorders,"2,446"
journal of industrial information integration,"2,445"
journal of the national cancer center,"2,441"
american journal of transplantation,"2,439"
european stroke journal,"2,433"
immuno-oncology and technology,"2,430"
journal of health economics,"2,430"
international journal of forecasting,"2,428"
american journal of agricultural economics,"2,426"
critical perspectives on accounting,"2,426"
adolescent research review,"2,424"
psychological medicine,"2,424"
assessment and evaluation in higher education,"2,422"
journal of ecology,"2,422"
european journal of personality,"2,418"
transcription,"2,418"
annales scientifiques de l'ecole normale superieure,"2,416"
california management review,"2,416"
research in organizational behavior,"2,416"
computer methods in applied mechanics and engineering,"2,412"
current opinion in psychiatry,"2,411"
annals of the international communication association,"2,410"
materials futures,"2,410"
jco precision oncology,"2,409"
social issues and policy review,"2,407"
pediatrics,"2,406"
calculus of variations and partial differential equations,"2,405"
conservation letters,"2,405"
modern pathology,"2,400"
new media and society,"2,400"
journal of policy analysis and management,"2,398"
ieee transactions on geoscience and remote sensing,"2,397"
bioresource technology,"2,395"
european economic review,"2,395"
international journal of behavioral nutrition and physical activity,"2,394"
modern language journal,"2,394"
european journal of nuclear medicine and molecular imaging,"2,392"
briefings in bioinformatics,"2,390"
molecular biomedicine,"2,387"
annual reviews in control,"2,386"
physics of life reviews,"2,384"
organizational behavior and human decision processes,"2,383"
resources policy,"2,381"
journal of occupational health psychology,"2,380"
clinical journal of the american society of nephrology,"2,377"
science china chemistry,"2,377"
group and organization management,"2,373"
epilepsia,"2,371"
international security,"2,371"
current psychiatry reports,"2,370"
npj biofilms and microbiomes,"2,370"
multimodal transportation,"2,369"
nano research,"2,367"
decision support systems,"2,366"
bioscience,"2,365"
communications materials,"2,365"
diabetes and metabolism journal,"2,365"
demography,"2,363"
analysis and pde,"2,361"
british journal of anaesthesia,"2,360"
journal of heart and lung transplantation,"2,359"
trends in biotechnology,"2,359"
addiction,"2,357"
diabetes,"2,355"
horticulture research,"2,354"
acs environmental au,"2,349"
breast,"2,348"
meta-radiology,"2,347"
jco oncology practice,"2,346"
american journal of gastroenterology,"2,344"
british journal of pharmacology,"2,344"
progress in quantum electronics,"2,343"
reviews in environmental science and biotechnology,"2,338"
food policy,"2,335"
international endodontic journal,"2,335"
epidemiology and psychiatric sciences,"2,334"
international journal of robotics research,"2,333"
ieee transactions on mobile computing,"2,332"
ecosal plus,"2,331"
eurosurveillance,"2,331"
osteoarthritis and cartilage,"2,331"
proceedings of the london mathematical society,"2,331"
cell insight,"2,330"
quantitative marketing and economics,"2,330"
oncologist,"2,329"
advanced healthcare materials,"2,328"
journal of mixed methods research,"2,328"
economic geology,"2,326"
electronic markets,"2,325"
transportation science,"2,324"
carbon neutrality,"2,321"
carbon,"2,320"
journal of high energy astrophysics,"2,320"
glia,"2,317"
communication theory,"2,316"
review of managerial science,"2,316"
stem cell reports,"2,314"
journal of business and psychology,"2,313"
journal of combinatorial theory. series b,"2,312"
siam journal on numerical analysis,"2,312"
trends in cardiovascular medicine,"2,311"
ieee journal of emerging and selected topics in power electronics,"2,310"
foundations of computational mathematics,"2,308"
omega,"2,308"
journal of applied econometrics,"2,305"
tobacco control,"2,305"
international journal of information management data insights,"2,302"
transportation research part d,"2,301"
cellular and molecular life sciences,"2,299"
european heart journal cardiovascular imaging,"2,299"
journal of travel and tourism marketing,"2,299"
research,"2,299"
journal of advances in modeling earth systems,"2,298"
acta pharmacologica sinica,"2,297"
corporate social responsibility and environmental management,"2,294"
journal of economic history,"2,292"
mathematische annalen,"2,292"
immunotargets and therapy,"2,291"
biodrugs,"2,290"
space science reviews,"2,289"
communication methods and measures,"2,288"
international review of financial analysis,"2,288"
jama ophthalmology,"2,288"
criminology,"2,287"
language learning,"2,287"
blood reviews,"2,283"
journal of nanobiotechnology,"2,282"
journal of autoimmunity,"2,281"
molecular ecology resources,"2,281"
business horizons,"2,280"
communication research,"2,279"
materials research letters,"2,279"
materials today physics,"2,278"
climate policy,"2,275"
plant journal,"2,275"
gender and society,"2,272"
genetics,"2,272"
annual review of vision science,"2,271"
tunnelling and underground space technology,"2,269"
british journal of management,"2,267"
csee journal of power and energy systems,"2,265"
emerging microbes and infections,"2,264"
perspectives on politics,"2,264"
cyborg and bionic systems,"2,263"
ees catalysis,"2,261"
american journal of sports medicine,"2,260"
journal of behavioral addictions,"2,260"
journal of destination marketing and management,"2,260"
cell reports methods,"2,257"
british journal of clinical psychology,"2,256"
public administration,"2,255"
earth and planetary science letters,"2,254"
international journal of cancer,"2,252"
asian journal of pharmaceutical sciences,"2,251"
biofuel research journal,"2,251"
"diabetes, obesity and metabolism","2,251"
electron,"2,251"
journal of peasant studies,"2,248"
ieee transactions on energy conversion,"2,247"
journal of the acm,"2,246"
ieee/asme transactions on mechatronics,"2,243"
public management review,"2,243"
international journal of production research,"2,242"
international journal of applied earth observation and geoinformation,"2,241"
surface science reports,"2,241"
ieee wireless communications letters,"2,240"
european journal of operational research,"2,239"
jnci cancer spectrum,"2,236"
learning and instruction,"2,236"
npj vaccines,"2,236"
apoptosis,"2,233"
international journal of human resource management,"2,231"
journal of consulting and clinical psychology,"2,231"
water research x,"2,231"
astronomical journal,"2,229"
"proceedings of the annual international symposium on microarchitecture, micro","2,229"
journal of nuclear medicine,"2,224"
conservation biology,"2,222"
active learning in higher education,"2,221"
internet and higher education,"2,221"
international journal of consumer studies,"2,220"
arthroscopy - journal of arthroscopic and related surgery,"2,219"
progress of theoretical and experimental physics,"2,219"
journal of computer-mediated communication,"2,216"
proceedings - international symposium on high-performance computer architecture,"2,216"
journal of molecular biology,"2,215"
frontiers in neuroendocrinology,"2,213"
journal of urology,"2,213"
clinical nutrition,"2,212"
febs journal,"2,212"
energy,"2,211"
computers in industry,"2,209"
journal of environmental psychology,"2,208"
big data and society,"2,207"
environmental pollution,"2,205"
system,"2,205"
breast cancer research,"2,202"
business and information systems engineering,"2,201"
critical reviews in food science and nutrition,"2,200"
circular economy,"2,199"
limnology and oceanography letters,"2,199"
production planning and control,"2,198"
weather and climate dynamics,"2,197"
acta geotechnica,"2,195"
child development,"2,195"
transplantation and cellular therapy,"2,195"
journal of information technology,"2,192"
neuropsychology review,"2,191"
language teaching research,"2,190"
sustainable operations and computers,"2,190"
corrosion science,"2,189"
journal fur die reine und angewandte mathematik,"2,189"
journal of the american heart association,"2,189"
international journal of mechanical sciences,"2,188"
journal of second language writing,"2,187"
party politics,"2,186"
journal of toxicology and environmental health - part b,"2,185"
oncogenesis,"2,185"
ieee open journal of the communications society,"2,183"
journal of clinical endocrinology and metabolism,"2,183"
new political economy,"2,182"
nar genomics and bioinformatics,"2,179"
ultrafast science,"2,179"
npj genomic medicine,"2,178"
"scandinavian journal of work, environment and health","2,178"
recall,"2,177"
social problems,"2,177"
ieee communications standards magazine,"2,174"
journal of cleaner production,"2,174"
personality and social psychology bulletin,"2,174"
political communication,"2,173"
fuzzy optimization and decision making,"2,171"
journal of anxiety disorders,"2,171"
journal of climate,"2,169"
social media and society,"2,169"
neoplasia,"2,167"
weather and climate extremes,"2,167"
npj quantum materials,"2,166"
mobile media and communication,"2,165"
current opinion in behavioral sciences,"2,164"
trends in environmental analytical chemistry,"2,164"
current diabetes reports,"2,163"
plant physiology,"2,162"
world development,"2,161"
journal of cardiac failure,"2,160"
journal of pathology,"2,160"
assessment,"2,158"
journal of hospitality and tourism management,"2,158"
